Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Cruise Number,Vessel Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Species Code,Common Name,Scientific Name,Weight (kg),Number of Fish,Subsample Code,Voucher Taken,akfin_load_date
EBS_SHELF,2003,1159454,1159642,1164998,200301,88,188,59.99737,-173.9469,60.01868,-173.9758,43,,,,,,,,,0,Y,Good performance,95,97,21720,Pacific cod,Gadus macrocephalus,38.64,19,,,10-Oct-18
EBS_SHELF,2003,1159454,1159647,1165162,200301,88,193,59.67409,-177.145,59.66403,-177.13589,61,,,,,,,,,4.4,Y,Large fish catch affected net performance,168,170,21720,Pacific cod,Gadus macrocephalus,45.8,14,,,10-Oct-18
EBS_SHELF,2003,1159454,1159655,1165397,200301,88,201,58.34155,-173.56689,58.316,-173.57269,61,,,,,,,,,0,Y,Good performance,114,116,21720,Pacific cod,Gadus macrocephalus,4.23,2,,,10-Oct-18
EBS_SHELF,2003,1152635,1152798,1155610,200301,89,41,56.34831,-162.7764,56.32859,-162.8083,31,,,,,,,,,0,Y,Good performance,75,77,21720,Pacific cod,Gadus macrocephalus,16.478,15,,,10-Oct-18
EBS_SHELF,2002,1117115,1117166,1117758,200201,89,178,61.66039,-175.0614,61.6716,-175.1068,82,,,,,,,,,0,Y,Good performance,82,84,21720,Pacific cod,Gadus macrocephalus,1.5,1,,,10-Oct-18
EBS_SHELF,2002,1117115,1117169,1117860,200201,89,181,61.01301,-174.20689,60.99819,-174.16541,41,,,,,,,,,0,Y,Good performance,80,82,21720,Pacific cod,Gadus macrocephalus,17.64,21,,,10-Oct-18
EBS_SHELF,2004,1195615,1195791,1201980,200401,88,201,61.00553,-176.92529,61.00889,-176.9724,90,,,,,,,,,0,Y,Good performance,118,121,21720,Pacific cod,Gadus macrocephalus,58.5,18,,,10-Oct-18
EBS_SHELF,2004,1195615,1195792,1202011,200401,88,202,61.0033,-177.60851,61.01181,-177.65421,90,,,,,,,,,0,Y,Good performance,132,135,21720,Pacific cod,Gadus macrocephalus,28.38,7,,,10-Oct-18
EBS_SHELF,2004,1195615,1195809,1196588,200401,88,20,57.32704,-161.5305,57.35233,-161.526,31,,,,,,,,,0,Y,Good performance,53,56,21720,Pacific cod,Gadus macrocephalus,12.893,31,,,10-Oct-18
EBS_SHELF,2004,1195615,1195625,1197234,200401,88,54,58.32452,-164.0071,58.3495,-163.9984,10,,,,,,,,,0,Y,Good performance,39,42,21720,Pacific cod,Gadus macrocephalus,19.184,84,,,10-Oct-18
EBS_SHELF,2004,1195615,1195638,1197643,200401,88,69,57.00922,-165.2215,56.98435,-165.23579,31,,,,,,,,,0,Y,Good performance,69,72,21720,Pacific cod,Gadus macrocephalus,43.022,36,,,10-Oct-18
